,company,developer,gender,gender2,project_url,title,type_developer,year,final_gender
2595,Boost C++ Libraries,Yaghyavardhan Singh,,male,https://github.com/boostorg/geometry/pull/490,Similarity between geometries - 2018 - Google Summer of Code Archive,student,2018,?
2596,Boost C++ Libraries,Vissarion Fysikopoulos,male,male,https://github.com/boostorg/geometry/pull/490,Similarity between geometries - 2018 - Google Summer of Code Archive,mentor,2018,male
2597,Boost C++ Libraries,Adam Wulkiewicz,male,male,https://github.com/boostorg/geometry/pull/490,Similarity between geometries - 2018 - Google Summer of Code Archive,mentor,2018,male
2598,Global Alliance for Genomics and Health,Sarbjit Singh,unisex,male,https://gist.github.com/srbcheema1/c4356400549d126bf9274885e8f5b121,Simplify usage of VCF validation suite - 2018 - Google Summer of Code Archive,student,2018,?
2599,Global Alliance for Genomics and Health,Cristina Yenyxe Gonzalez,female,female,https://gist.github.com/srbcheema1/c4356400549d126bf9274885e8f5b121,Simplify usage of VCF validation suite - 2018 - Google Summer of Code Archive,mentor,2018,female
2600,Global Alliance for Genomics and Health,Jose Miguel Mut Lopez,male,male,https://gist.github.com/srbcheema1/c4356400549d126bf9274885e8f5b121,Simplify usage of VCF validation suite - 2018 - Google Summer of Code Archive,mentor,2018,male
2601,National Resource for Network Biology (NRNB),Hannes Planatscher,male,male,https://github.com/shalinshah1993/SBSCL/wiki/SBSCL-wiki-page-for-GSoC-2018,Simulating systems biology models in Java - 2018 - Google Summer of Code Archive,mentor,2018,male
2602,National Resource for Network Biology (NRNB),Nicolas Rodriguez,male,male,https://github.com/shalinshah1993/SBSCL/wiki/SBSCL-wiki-page-for-GSoC-2018,Simulating systems biology models in Java - 2018 - Google Summer of Code Archive,mentor,2018,male
2603,National Resource for Network Biology (NRNB),Matthias König,male,male,https://github.com/shalinshah1993/SBSCL/wiki/SBSCL-wiki-page-for-GSoC-2018,Simulating systems biology models in Java - 2018 - Google Summer of Code Archive,mentor,2018,male
2604,National Resource for Network Biology (NRNB),Andreas Dräger,male,male,https://github.com/shalinshah1993/SBSCL/wiki/SBSCL-wiki-page-for-GSoC-2018,Simulating systems biology models in Java - 2018 - Google Summer of Code Archive,mentor,2018,male
2605,BRL-CAD,Benjamin Landers,male,male,https://gist.github.com/TheThirdOne/11c1c28f988eff272bba9879dd8395f9,Slic3r - Rotating Face to Bottom - 2018 - Google Summer of Code Archive,student,2018,male
2606,BRL-CAD,Joseph Lenox,male,male,https://gist.github.com/TheThirdOne/11c1c28f988eff272bba9879dd8395f9,Slic3r - Rotating Face to Bottom - 2018 - Google Summer of Code Archive,mentor,2018,male
2607,CGAL Project,Vasudha Varadarajan,female,female,https://github.com/CGAL/cgal/issues/3282,Smooth Surface Reconstruction - 2018 - Google Summer of Code Archive,student,2018,female
2608,CGAL Project,Christian RÃ¶ssl,male,male,https://github.com/CGAL/cgal/issues/3282,Smooth Surface Reconstruction - 2018 - Google Summer of Code Archive,mentor,2018,male
2609,CGAL Project,Pierre Alliez,male,male,https://github.com/CGAL/cgal/issues/3282,Smooth Surface Reconstruction - 2018 - Google Summer of Code Archive,mentor,2018,male
2610,The Honeynet Project,Viswak Hanumanth G K,,male,https://github.com/mushorg/tanner/wiki/GSoC-2018-Work-Product-Submission,SNARE/TANNER - 2018 - Google Summer of Code Archive,student,2018,?
2611,The Honeynet Project,Evgeniia Tokarchuk,female,female,https://github.com/mushorg/tanner/wiki/GSoC-2018-Work-Product-Submission,SNARE/TANNER - 2018 - Google Summer of Code Archive,mentor,2018,female
2612,The Honeynet Project,Lukas Rist,male,male,https://github.com/mushorg/tanner/wiki/GSoC-2018-Work-Product-Submission,SNARE/TANNER - 2018 - Google Summer of Code Archive,mentor,2018,male
2613,Public Lab,Sagarpreet Chadha,,male,https://gist.github.com/sagarpreet-chadha/209ad37ca653d5bf3137bb146f8eff45,Social Media Integration and Leaflet Environmental-Layers Library . - 2018 - Google Summer of Code Archive,student,2018,?
2614,Public Lab,Stevie Lewis,male,male,https://gist.github.com/sagarpreet-chadha/209ad37ca653d5bf3137bb146f8eff45,Social Media Integration and Leaflet Environmental-Layers Library . - 2018 - Google Summer of Code Archive,mentor,2018,male
2615,Public Lab,Bronwen Densmore,female,female,https://gist.github.com/sagarpreet-chadha/209ad37ca653d5bf3137bb146f8eff45,Social Media Integration and Leaflet Environmental-Layers Library . - 2018 - Google Summer of Code Archive,mentor,2018,female
2616,Netfilter project,Máté Eckl,male,male,http://gsoc-blog.ecklm.com/gsoc-2018-project-submission/,Socket match and transparent proxy support implementation in nftables - 2018 - Google Summer of Code Archive,student,2018,male
2617,Netfilter project,Florian Westphal,male,male,http://gsoc-blog.ecklm.com/gsoc-2018-project-submission/,Socket match and transparent proxy support implementation in nftables - 2018 - Google Summer of Code Archive,mentor,2018,male
2618,GFOSS - Open Technologies Alliance,Gopalakrishnan V,male,male,https://gist.github.com/gopuvenkat/d8433e5ed78a67e0b114db69ce675235,Software Components and IP management - 2018 - Google Summer of Code Archive,student,2018,male
2619,GFOSS - Open Technologies Alliance,Alexios Zavras (zvr),male,male,https://gist.github.com/gopuvenkat/d8433e5ed78a67e0b114db69ce675235,Software Components and IP management - 2018 - Google Summer of Code Archive,mentor,2018,male
2620,GFOSS - Open Technologies Alliance,Georgia Kapitsaki,female,female,https://gist.github.com/gopuvenkat/d8433e5ed78a67e0b114db69ce675235,Software Components and IP management - 2018 - Google Summer of Code Archive,mentor,2018,female
2621,Mozilla,Lachlan Sneff,male,male,https://github.com/nebulet/nebulet,Software-Isolated WASM Processes in Ring 0 - 2018 - Google Summer of Code Archive,student,2018,male
2622,Mozilla,Yury Delendik,male,male,https://github.com/nebulet/nebulet,Software-Isolated WASM Processes in Ring 0 - 2018 - Google Summer of Code Archive,mentor,2018,male
2623,SymPy,Yathartha Anirudh Joshi,,female,https://gist.github.com/Yathartha22/416990ceacca18b20cf1a64687e34125,Solvers: Completing Solveset - 2018 - Google Summer of Code Archive,student,2018,?
2624,SymPy,Amit Kumar,male,male,https://gist.github.com/Yathartha22/416990ceacca18b20cf1a64687e34125,Solvers: Completing Solveset - 2018 - Google Summer of Code Archive,mentor,2018,male
2625,PostgreSQL,Kefan Yang,,male,https://gist.github.com/Strider-Alex/253ff5b3bff8c48a6c98bdcd97ff4cbb,Sorting Algorithms Benchmark and Implementation - 2018 - Google Summer of Code Archive,student,2018,?
2626,PostgreSQL,Andrey Borodin,male,male,https://gist.github.com/Strider-Alex/253ff5b3bff8c48a6c98bdcd97ff4cbb,Sorting Algorithms Benchmark and Implementation - 2018 - Google Summer of Code Archive,mentor,2018,male
2627,PostgreSQL,Atri Sharma,,female,https://gist.github.com/Strider-Alex/253ff5b3bff8c48a6c98bdcd97ff4cbb,Sorting Algorithms Benchmark and Implementation - 2018 - Google Summer of Code Archive,mentor,2018,?
2628,Sustainable Computing Research Group (SCoRe),Piyush Singhal,male,male,https://github.com/scorelab/GSoC/blob/master/GSoC-2018/Piyush_Singhal-Soundcom.md,Soundcom(React-native-app) - 2018 - Google Summer of Code Archive,student,2018,male
2629,Sustainable Computing Research Group (SCoRe),Rox Luk,,female,https://github.com/scorelab/GSoC/blob/master/GSoC-2018/Piyush_Singhal-Soundcom.md,Soundcom(React-native-app) - 2018 - Google Summer of Code Archive,mentor,2018,?
2630,Sustainable Computing Research Group (SCoRe),Charitha Elvitigala,,female,https://github.com/scorelab/GSoC/blob/master/GSoC-2018/Piyush_Singhal-Soundcom.md,Soundcom(React-native-app) - 2018 - Google Summer of Code Archive,mentor,2018,?
2631,Sustainable Computing Research Group (SCoRe),Lasith Niroshan,,male,https://github.com/scorelab/GSoC/blob/master/GSoC-2018/Piyush_Singhal-Soundcom.md,Soundcom(React-native-app) - 2018 - Google Summer of Code Archive,mentor,2018,?
2632,Sustainable Computing Research Group (SCoRe),Deniz Karakay,male,male,https://github.com/scorelab/GSoC/blob/master/GSoC-2018/Piyush_Singhal-Soundcom.md,Soundcom(React-native-app) - 2018 - Google Summer of Code Archive,mentor,2018,male
2633,MetaBrainz Foundation Inc.,Leo Verto,male,male,http://blog.musicbrainz.org/2018/08/13/gsoc-2018-spambrainz,SpamBrainz - Fighting spam with machine learning - 2018 - Google Summer of Code Archive,student,2018,male
2634,MetaBrainz Foundation Inc.,Yvan Zo,male,male,http://blog.musicbrainz.org/2018/08/13/gsoc-2018-spambrainz,SpamBrainz - Fighting spam with machine learning - 2018 - Google Summer of Code Archive,mentor,2018,male
2635,CERN-HSF,Mayur Bhosale,male,male,https://mayurdb.github.io/gsoc2018/,Spark3D: Extend Apache Spark to support 3D Spatial Datasets - 2018 - Google Summer of Code Archive,student,2018,male
2636,CERN-HSF,Christian Arnault,male,male,https://mayurdb.github.io/gsoc2018/,Spark3D: Extend Apache Spark to support 3D Spatial Datasets - 2018 - Google Summer of Code Archive,mentor,2018,male
2637,CERN-HSF,Julien Peloton,male,male,https://mayurdb.github.io/gsoc2018/,Spark3D: Extend Apache Spark to support 3D Spatial Datasets - 2018 - Google Summer of Code Archive,mentor,2018,male
2638,R project for statistical computing,Marlon E. Cobos,male,male,https://github.com/marlonecobos/rangemap,Species range maps in R - 2018 - Google Summer of Code Archive,student,2018,male
2639,R project for statistical computing,Narayani Barve,female,female,https://github.com/marlonecobos/rangemap,Species range maps in R - 2018 - Google Summer of Code Archive,mentor,2018,female
2640,R project for statistical computing,Vijay Barve,male,male,https://github.com/marlonecobos/rangemap,Species range maps in R - 2018 - Google Summer of Code Archive,mentor,2018,male
2641,R project for statistical computing,Alberto JimÃ©nez Valverde,male,male,https://github.com/marlonecobos/rangemap,Species range maps in R - 2018 - Google Summer of Code Archive,mentor,2018,male
2642,CGAL Project,Tong ZHAO,unisex,male,https://github.com/CGAL/cgal/issues/3279,Spectral Surface Reconstruction - 2018 - Google Summer of Code Archive,student,2018,?
2643,CGAL Project,Simon Giraudot,male,male,https://github.com/CGAL/cgal/issues/3279,Spectral Surface Reconstruction - 2018 - Google Summer of Code Archive,mentor,2018,male
2644,CGAL Project,Pierre Alliez,male,male,https://github.com/CGAL/cgal/issues/3279,Spectral Surface Reconstruction - 2018 - Google Summer of Code Archive,mentor,2018,male
2645,NumFOCUS,Matthew C. Kelley,male,male,https://maetshju.github.io/finalupdate.html,Speech recognition for the Flux model zoo - 2018 - Google Summer of Code Archive,student,2018,male
2646,NumFOCUS,Mike Innes,male,male,https://maetshju.github.io/finalupdate.html,Speech recognition for the Flux model zoo - 2018 - Google Summer of Code Archive,mentor,2018,male
2647,NumFOCUS,Christopher Rackauckas,male,male,https://maetshju.github.io/finalupdate.html,Speech recognition for the Flux model zoo - 2018 - Google Summer of Code Archive,mentor,2018,male
2648,Jitsi,Nik Vaessen,male,male,https://pvgupta24.github.io/2018/08/12/gsoc18-overview/,Speech-to-Text with Translation - 2018 - Google Summer of Code Archive,mentor,2018,male
2649,Jitsi,Boris Grozev,male,male,https://pvgupta24.github.io/2018/08/12/gsoc18-overview/,Speech-to-Text with Translation - 2018 - Google Summer of Code Archive,mentor,2018,male
2650,Rocket.Chat,Karan Bedi,female,male,https://gist.github.com/kb0304/de2edffbfd9d39c2eea5f7ce84565faa,Speech2Text Engine & Voice Recognition API Integration - 2018 - Google Summer of Code Archive,student,2018,?
2651,Rocket.Chat,Rodrigo Nascimento,male,male,https://gist.github.com/kb0304/de2edffbfd9d39c2eea5f7ce84565faa,Speech2Text Engine & Voice Recognition API Integration - 2018 - Google Summer of Code Archive,mentor,2018,male
2652,Rocket.Chat,Pierre Lehnen,male,male,https://gist.github.com/kb0304/de2edffbfd9d39c2eea5f7ce84565faa,Speech2Text Engine & Voice Recognition API Integration - 2018 - Google Summer of Code Archive,mentor,2018,male
2653,The NetBSD Foundation,Nizar Benshaqi,male,male,https://github.com/NBens/TestsTrackingSystem,SQL Database for ATF tests results with online query and statistics page - 2018 - Google Summer of Code Archive,student,2018,male
2654,The NetBSD Foundation,Martin Husemann,male,male,https://github.com/NBens/TestsTrackingSystem,SQL Database for ATF tests results with online query and statistics page - 2018 - Google Summer of Code Archive,mentor,2018,male
2655,Sustainable Computing Research Group (SCoRe),Nandun Bandara,,male,https://gist.github.com/ntbandara3/b33e492d229167697ecac17d06c5a501,Stackle - Frontend Functionality and User Interface Improvements - 2018 - Google Summer of Code Archive,student,2018,?
2656,Sustainable Computing Research Group (SCoRe),Pasan Gamaetige,,male,https://gist.github.com/ntbandara3/b33e492d229167697ecac17d06c5a501,Stackle - Frontend Functionality and User Interface Improvements - 2018 - Google Summer of Code Archive,mentor,2018,?
2657,Sustainable Computing Research Group (SCoRe),Tharindu Ranathunga,,male,https://gist.github.com/ntbandara3/b33e492d229167697ecac17d06c5a501,Stackle - Frontend Functionality and User Interface Improvements - 2018 - Google Summer of Code Archive,mentor,2018,?
2658,Sustainable Computing Research Group (SCoRe),Shivam Arora,male,male,https://github.com/scorelab/GSoC/blob/master/GSoC-2018/Shivam_Arora-Stackle_routes.md,Stackle-Structure Routes - 2018 - Google Summer of Code Archive,student,2018,male
2659,Sustainable Computing Research Group (SCoRe),Tharindu Ranathunga,,male,https://github.com/scorelab/GSoC/blob/master/GSoC-2018/Shivam_Arora-Stackle_routes.md,Stackle-Structure Routes - 2018 - Google Summer of Code Archive,mentor,2018,?
2660,ScummVM,Matthew Stewart,male,male,https://drenn1.github.io/gsoc-end/,Star Trek Engine - 2018 - Google Summer of Code Archive,student,2018,male
2661,ScummVM,Paul Gilbert,male,male,https://drenn1.github.io/gsoc-end/,Star Trek Engine - 2018 - Google Summer of Code Archive,mentor,2018,male
2662,ScummVM,Arnaud BoutonnÃ©,male,male,https://drenn1.github.io/gsoc-end/,Star Trek Engine - 2018 - Google Summer of Code Archive,mentor,2018,male
