student,python,education
mentor,python,education
student,c,desktop environment
mentor,c,desktop environment
student,c/c++,communications
mentor,python,live streaming
student,ruby,package system
mentor,ruby,package system
student,opencl,cad
mentor,c++,numerical and data analysis software
mentor,c++,numerical and data analysis software
student,c/c++,virtualization
student,distributed systems,cloud
mentor,distributed systems,cloud
student,python,math
mentor,python,math
mentor,python,math
mentor,python,math
mentor,python,math
mentor,hg,mathematics
mentor,hg,mathematics
mentor,hg,mathematics
mentor,xia,computer networking
student,javascript,web
mentor,javascript,web
student,c++,dataviz
mentor,c++,dataviz
student,javascript,game theory
mentor,javascript,game theory
mentor,javascript,game theory
student,c,media analysis
mentor,c,media analysis
student,mp4,streaming
mentor,mp4,streaming
mentor,java,testing
student,c/c++,virtualization
mentor,c/c++,virtualization
mentor,c/c++,virtualization
student,java,testing
mentor,java,testing
student,medical imaging,imaging
mentor,medical imaging,imaging
student,c/c++,virtualization
mentor,c/c++,virtualization
student,c/c++,virtualization
mentor,c/c++,virtualization
student,parallel processing,runtime systems
mentor,parallel processing,runtime systems
student,android,education
student,android,education
mentor,android,education
student,middleware,cloud
mentor,middleware,cloud
student,java,education
mentor,internet of things,internet of things
mentor,internet of things,internet of things
mentor,internet of things,internet of things
student,android,natural language processing
mentor,android,natural language processing
mentor,android,natural language processing
student,webgl,image analysis
student,webgl,image analysis
mentor,webgl,image analysis
student,julia,statistics
mentor,julia,statistics
student,php,education
student,c++,neuroscience
mentor,c++,neuroscience
student,parallel processing,runtime systems
mentor,parallel processing,runtime systems
student,erlang,messaging
student,c,internet of things
mentor,c,internet of things
student,c,compatibility
mentor,c,compatibility
mentor,c,compatibility
student,hg,mathematics
mentor,hg,mathematics
student,c++,software preservation
mentor,bsd,operating systems
mentor,java,java
student,c,internet of things
mentor,c,internet of things
mentor,c,internet of things
mentor,c,internet of things
mentor,javascript,web
student,javascript,web
mentor,javascript,web
mentor,javascript,web
mentor,javascript,web
mentor,javascript,web
mentor,javascript,web
student,perl,bioinformatics
mentor,perl,bioinformatics
student,c,desktop environment
mentor,javascript,web
mentor,javascript,web
student,c++,office suite
mentor,c++,office suite
student,php,cms
mentor,php,cms
student,c++,computer vision
mentor,python,astronomy
student,c,compiler
student,c,3d
mentor,c,3d
mentor,dlang,compilers
student,ruby on rails,censorship
mentor,ruby on rails,censorship
mentor,c,real time
mentor,c,real time
mentor,c,real time
student,python,science
mentor,python,science
mentor,python,science
student,c++,web
mentor,c++,web
mentor,javascript,science and enineering
student,python,content management
student,java,cloud
mentor,java,cloud
student,python,web
student,python,engineering
student,java,program analysis
student,c/c++,virtualization
mentor,c/c++,virtualization
student,r,data science
mentor,r,data science
mentor,r,data science
student,android,honeynet
mentor,android,honeynet
mentor,android,honeynet
student,qt,music
student,php,mediawiki
student,java,cancer
student,php,cms
mentor,php,cms
student,lua,programming languages
student,python,scientific computing
mentor,python,scientific computing
student,scilab,engineering
mentor,scilab,engineering
mentor,scilab,engineering
student,c++,dataviz
mentor,c++,dataviz
student,java,cloud
mentor,java,cloud
student,firewall,firewall
student,python,programming languages
mentor,c,version control
student,python,web
mentor,python,web
mentor,java,natural language processing
mentor,java,natural language processing
student,android,natural language processing
mentor,android,natural language processing
student,c++,office suite
mentor,c++,office suite
student,android,honeynet
mentor,android,honeynet
mentor,android,honeynet
student,php,web development
mentor,php,web development
student,verilog,embedded hardware
mentor,verilog,embedded hardware
mentor,python,bioinformatics
mentor,python,bioinformatics
student,php,civic technology
student,ros,robotics
mentor,c++,numerical and data analysis software
mentor,c++,numerical and data analysis software
student,posix,operating systems
mentor,posix,operating systems
student,java,natural language processing
mentor,java,natural language processing
student,ruby,package system
mentor,java,natural language processing
student,java,cancer
mentor,java,cancer
student,c++,numerical and data analysis software
student,r,data science
mentor,r,data science
student,middleware,cloud
mentor,middleware,cloud
student,webgl,image analysis
student,julia,statistics
student,c++,dataviz
mentor,c++,dataviz
student,java,java
mentor,java,java
student,javascript,environment
mentor,javascript,environment
mentor,c,compiler
mentor,c,compiler
student,c++,machine translation
mentor,c++,machine translation
student,java,iot
mentor,java,iot
mentor,java,iot
mentor,java,educational technology
student,ruby on rails,censorship
mentor,c/c++,security
student,python,gis
mentor,python,gis
mentor,python,gis
mentor,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
student,ruby,programming languages
mentor,ruby,programming languages
mentor,ruby,programming languages
mentor,java,program analysis
mentor,scala,compilers
student,java,cloud
mentor,java,cloud
mentor,python,education
student,javascript,unit testing
mentor,javascript,unit testing
mentor,javascript,unit testing
mentor,java,cloud
student,java,java
student,c,log management
student,qt,desktop applications
student,qt,desktop applications
mentor,qt,desktop applications
student,shell script,virtualization
student,c++11,real time
mentor,c++11,real time
student,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
student,fasm,desktop
mentor,fasm,desktop
student,qt,desktop applications
student,qt,desktop applications
mentor,qt,desktop applications
mentor,qt,desktop applications
student,c++,machine translation
mentor,c++,machine translation
student,qt,desktop applications
mentor,c,3d
student,c++,search
student,shell script,virtualization
mentor,shell script,virtualization
mentor,posix,operating systems
student,android,natural language processing
mentor,android,natural language processing
student,c/c++,virtualization
mentor,c/c++,virtualization
student,opencl,cad
mentor,python,space
mentor,python,bioinformatics
student,posix,operating systems
student,c++,machine translation
mentor,c++,machine translation
mentor,c++,machine translation
student,c,kernel
mentor,c,kernel
student,c,kernel
mentor,c,kernel
student,scala,logic
mentor,scala,logic
mentor,javascript,web
mentor,c,real time
mentor,c,real time
mentor,c,real time
mentor,c,real time
student,c,kernel
mentor,c,kernel
mentor,c,kernel
student,qt,desktop applications
mentor,qt,desktop applications
student,c/c++,security
mentor,c/c++,security
student,python,appsec
mentor,python,appsec
mentor,python,appsec
mentor,python,appsec
student,android,natural language processing
mentor,android,natural language processing
mentor,ruby,programming languages
mentor,r,data science
mentor,r,data science
mentor,r,data science
mentor,r,data science
mentor,r,data science
mentor,python,web development
student,c,cloud
student,python,scientific computing
mentor,python,scientific computing
student,r,data science
mentor,r,data science
mentor,r,data science
student,java,cloud
student,r,data science
mentor,r,data science
student,c++,chemistry
mentor,c++,chemistry
student,python,mlearning
mentor,python,mlearning
mentor,python,mlearning
mentor,python,image analysis
student,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
mentor,scilab,engineering
mentor,scilab,engineering
student,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
student,python,mailing lists
mentor,python,mailing lists
student,java,fintech
mentor,java,fintech
student,javascript,science and enineering
mentor,javascript,science and enineering
mentor,javascript,science and enineering
student,qt,desktop applications
mentor,qt,desktop applications
student,java,educational technology
student,webgl,image analysis
mentor,webgl,image analysis
mentor,webgl,image analysis
student,java,fintech
mentor,java,fintech
mentor,java,fintech
student,c,desktop environment
mentor,c,desktop environment
student,c++,neuroscience
mentor,c++,neuroscience
student,waf,web application security
mentor,waf,web application security
mentor,waf,web application security
mentor,waf,web application security
mentor,waf,web application security
mentor,waf,web application security
student,python,mathematics
mentor,python,mathematics
student,c++,neuroscience
mentor,c++,neuroscience
student,c++,neuroscience
mentor,c,audio
student,java,multimedia retrieval
student,android,security
student,ruby,programming languages
mentor,ruby,programming languages
student,c++,web
student,c++,web
mentor,c++,web
student,c,audio
mentor,c,audio
mentor,c,audio
student,c,virtualization
mentor,c,virtualization
mentor,linux,linux
student,c,3d
mentor,c,3d
student,c++,numerical and data analysis software
mentor,c++,numerical and data analysis software
student,c++,dataviz
mentor,python,education
student,python,image analysis
mentor,python,image analysis
student,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
student,python,image analysis
mentor,python,image analysis
student,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
student,python,image analysis
mentor,python,image analysis
student,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
student,python,gis
mentor,python,gis
student,julia,statistics
mentor,julia,statistics
mentor,scilab,engineering
student,java,multimedia retrieval
student,c,desktop environment
mentor,c,desktop environment
student,c,desktop environment
mentor,c,desktop environment
mentor,c,desktop environment
student,openwrt,mesh
student,linux,linux
mentor,linux,linux
student,c++,machine learning
mentor,c++,machine learning
student,qt,desktop applications
mentor,qt,desktop applications
mentor,c++,machine translation
mentor,c++,machine translation
mentor,c++,computer vision
mentor,ruby on rails,censorship
mentor,ruby on rails,censorship
mentor,ruby on rails,censorship
mentor,c++,machine learning
mentor,c++,numerical and data analysis software
student,python,content management
student,c,media analysis
mentor,c,media analysis
mentor,lua,programming languages
student,firewall,firewall
mentor,firewall,firewall
student,r,data science
mentor,r,data science
student,mysql,databases
mentor,mysql,databases
mentor,c/c++,virtualization
mentor,c/c++,virtualization
student,java,cloud
mentor,java,cloud
student,bsd,operating systems
mentor,bsd,operating systems
mentor,c/c++,security
mentor,c/c++,operating systems
mentor,java,cloud
student,python,gis
mentor,python,gis
mentor,java,cancer
mentor,java,cancer
student,python,gis
mentor,python,gis
mentor,javascript,web
mentor,javascript,web
mentor,javascript,web
mentor,javascript,web
mentor,javascript,web
student,javascript,web
mentor,javascript,web
mentor,javascript,web
mentor,javascript,web
mentor,javascript,web
student,javascript,web
mentor,javascript,web
mentor,javascript,web
mentor,javascript,web
mentor,javascript,web
student,javascript,web
mentor,javascript,web
mentor,javascript,web
mentor,javascript,web
mentor,javascript,web
mentor,javascript,web
mentor,javascript,web
student,python,space
student,java,iot
mentor,java,iot
student,medical imaging,imaging
mentor,medical imaging,imaging
student,distributed systems,cloud
student,golang,monitoring
mentor,golang,monitoring
mentor,c++,numerical and data analysis software
mentor,c++,numerical and data analysis software
student,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
student,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
mentor,python,image analysis
student,python,mlearning
mentor,python,mlearning
student,javascript,virtual reality
mentor,javascript,virtual reality
student,c,desktop environment
mentor,c,desktop environment
student,qt,desktop applications
mentor,qt,desktop applications
student,opencl,cad
mentor,opencl,cad
student,r,data science
mentor,r,data science
mentor,r,data science
mentor,r,data science
student,c,graphics
mentor,c,graphics
student,c++,neuroscience
student,parallel processing,runtime systems
mentor,parallel processing,runtime systems
mentor,c++,robotics
mentor,android,education
student,c,compiler
mentor,c,compiler
student,php,mediawiki
