mentor,ruby on rails,censorship,female
mentor,c,real time,female
student,python,engineering,female
mentor,python,engineering,female
mentor,c++,web,female
student,javascript,science and enineering,female
mentor,javascript,science and enineering,female
mentor,python,content management,female
mentor,java,cloud,female
mentor,python,web,female
mentor,python,web,female
student,c,media analysis,female
mentor,c,media analysis,female
mentor,python,engineering,female
mentor,java,program analysis,female
mentor,qt,music,female
student,python,bioinformatics,female
mentor,python,bioinformatics,female
mentor,php,mediawiki,female
mentor,php,mediawiki,female
mentor,java,cancer,female
mentor,java,cancer,female
student,android,honeynet,female
mentor,android,honeynet,female
mentor,php,cms,female
mentor,lua,programming languages,female
mentor,java,cloud,female
mentor,firewall,firewall,female
mentor,python,programming languages,female
mentor,python,programming languages,female
student,c,version control,female
mentor,c,version control,female
mentor,python,web,female
student,java,natural language processing,female
mentor,c++,office suite,female
mentor,php,web development,female
mentor,php,web development,female
student,python,developer tools,female
mentor,python,developer tools,female
mentor,ros,robotics,female
student,c++,numerical and data analysis software,female
mentor,c++,numerical and data analysis software,female
mentor,posix,operating systems,female
mentor,java,natural language processing,female
mentor,java,natural language processing,female
mentor,ruby,package system,female
student,java,natural language processing,female
mentor,java,cancer,female
mentor,c++,numerical and data analysis software,female
mentor,c++,numerical and data analysis software,female
mentor,r,data science,female
mentor,middleware,cloud,female
mentor,middleware,cloud,female
mentor,webgl,image analysis,female
mentor,julia,statistics,female
mentor,julia,statistics,female
student,python,bioinformatics,female
mentor,python,bioinformatics,female
student,c++,dataviz,female
mentor,c++,dataviz,female
mentor,javascript,environment,female
student,c,compiler,female
mentor,c++,machine translation,female
mentor,c++,machine translation,female
mentor,java,iot,female
student,java,educational technology,female
mentor,ruby on rails,censorship,female
mentor,ruby on rails,censorship,female
student,c/c++,security,female
mentor,c/c++,security,female
student,python,image analysis,female
mentor,python,image analysis,female
student,python,image analysis,female
student,python,image analysis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
mentor,ruby,programming languages,female
student,java,program analysis,female
mentor,java,program analysis,female
student,scala,compilers,female
student,python,education,female
mentor,python,education,female
student,java,cloud,female
mentor,java,cloud,female
student,qt,desktop applications,female
mentor,qt,desktop applications,female
mentor,java,java,female
mentor,c,log management,female
mentor,qt,desktop applications,female
mentor,qt,desktop applications,female
mentor,qt,desktop applications,female
student,qt,desktop applications,female
student,qt,desktop applications,female
mentor,qt,desktop applications,female
mentor,shell script,virtualization,female
student,python,image analysis,female
mentor,python,image analysis,female
mentor,python,image analysis,female
mentor,qt,desktop applications,female
mentor,c++,machine translation,female
mentor,qt,desktop applications,female
student,android,natural language processing,female
mentor,android,natural language processing,female
student,medical imaging,imaging,female
mentor,medical imaging,imaging,female
mentor,c++,search,female
student,posix,operating systems,female
